,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.60922384,0.0060292482,0.33880347,1.2979602,-0.2565502,-1.2490294,0.080655515,1.3826674,-0.3956426,-0.42446503,0.038538948,-0.89310396,-0.29810497,-0.5614269,1.3037491,-1.6274518,-0.46647456,-1.1195395,1.3644742,0.3081484,-1.8061736,0.69134486,-1.4903959,-0.60466236,-0.049184874,0.9131827,-1.6521294,-0.23234962,-0.54609585,-0.7754081,0.58160055,-0.54834723,-0.47831166,-1.6071028,1.1709393,-1.3637103,-0.4325378,-0.08294548,-1.211331,-0.668353,-0.6228972,-0.61961997,0.39261857,0.8238535,0.05598258,-1.4474502,1.6145048,0.9368651,-1.0262445,-0.86232406,0.68010575,-0.65627015,-0.35869196,-0.9453129,-0.142371,-1.4157933,1.2554209,-0.1790216,-0.210676,-1.7716625,-1.4752074,-0.11349595,0.9098514,-1.5452155
1,1.1225551,-0.7114029,-0.60122573,-0.1983748,0.07629715,0.4038316,-0.34070897,-0.08746798,0.04136557,0.87405825,-0.08766465,-0.0059686974,0.24134393,-0.4164869,-0.5687115,0.573594,-0.17679732,-0.3924423,0.64044654,0.22655204,1.1795906,-0.22740161,0.8716846,0.010270456,-0.5787325,-0.10181287,0.57115275,0.31378224,1.3232273,0.15435253,-0.31509462,-0.3381999,0.2107928,-0.051722366,0.28105837,-0.45914036,0.18287857,-0.19909616,0.8066622,0.79890543,0.23614806,-0.7353367,0.97388834,-0.049458638,1.3396976,0.6712249,0.46512622,-0.28033996,-0.21741715,-0.08395741,-0.6560497,-0.614313,0.04639992,-0.35737398,-0.24567538,-0.23118193,0.37887135,-0.2325153,0.74093723,0.7932005,-0.0026056154,1.1009271,0.2184984,0.5230247
2,-0.52133596,0.4501269,1.2837135,1.5962714,-0.82048714,-0.99126035,0.3850671,1.8313117,-1.5414653,-1.3058208,0.16220291,-0.8586124,-0.71973133,0.26194045,1.9811525,-2.731047,0.028485391,-0.579659,0.41540235,0.10454488,-2.9579358,1.649346,-2.2763379,-0.82139456,0.62976,0.75307524,-2.192691,-0.22913776,-1.7068106,0.23592672,0.8188963,-0.32783657,-0.51125383,-2.2088192,0.47397646,-1.4355464,-0.33735093,-0.03885166,-2.1466196,-1.2341567,-0.89852065,-0.060988598,-0.7310751,0.22809184,-1.3295494,-2.5402026,1.1323261,1.0618126,-0.8830626,-1.0071225,1.0260129,0.32936916,-0.53896666,-0.8741425,0.40900087,-1.604945,1.22953,-0.0569191,-1.6543857,-2.5030522,-1.4079583,-1.2086447,0.5723359,-2.2514577
3,-1.1664107,0.5433377,1.1773959,0.97948176,-0.5753869,-0.5988632,-0.6941852,1.7437528,-0.79143125,-0.99670017,0.50149816,-1.1469,-0.29699755,1.8045167,3.0713143,-2.4145417,-0.1289439,0.93491024,-1.2722708,-0.3823493,-2.266229,1.5277501,-2.9376132,0.7363172,1.0773296,0.27225572,-1.3535715,-1.0817096,-2.1032128,0.23172706,1.2193046,0.23826915,0.17034434,-1.2336177,-0.065916635,-0.81274605,-1.499354,-0.0680094,-1.5689297,-1.7210776,-0.026549324,0.99025357,-1.7063684,-0.87147427,-1.8876789,-3.5894096,0.7411393,0.22618885,-0.035545044,-0.26020998,1.1785864,1.339855,0.5763685,0.44137332,1.3048378,0.08078775,-0.2606244,0.8544484,-1.5562162,-1.6900518,-1.431072,-3.3833923,1.5852648,-2.3683307
4,-1.4260154,0.87787384,1.0632166,-0.09289417,-0.18982442,0.3632692,0.8538958,-0.33384693,0.039193198,-2.0396702,-0.26978305,-0.0003182888,0.052897535,0.7298167,0.35595042,-0.20525105,-0.1094127,1.1102909,-1.0393438,-0.45432913,-1.4311699,0.40503213,-1.230935,0.13010924,0.8027676,-0.26564795,-0.54429984,-0.31011242,-2.2722685,0.1436632,0.53178114,0.7142712,-0.71224684,0.19257243,-1.0105288,0.4985794,0.41941208,0.9141053,-0.44030812,-0.91081405,0.09519218,1.296214,-1.8082129,-0.3865959,-2.2198734,-0.93239295,-0.8335234,0.5685741,-0.09691673,0.5165335,0.49476486,0.5940027,0.3777601,1.633026,-0.02179119,0.14449465,-0.67964846,0.42576274,-0.70804775,-0.37771443,0.650701,-1.5019463,-0.3097294,-0.019452872
5,-1.368394,0.76335114,1.5247598,0.6841278,-0.34506077,0.1218649,0.84251434,0.66882885,-0.56636155,-2.2709274,0.1051496,-0.50911266,0.044918388,0.702196,1.164042,-1.1181186,-0.06360912,1.1080568,-0.8557037,-0.19618933,-2.0492697,1.1473439,-1.7468909,-0.31525865,0.66856945,-0.120676264,-1.2273508,-0.43652764,-2.3755784,0.3811857,0.74164367,0.617188,-0.6866398,-0.4918597,-0.7938268,-0.05237224,0.41422668,0.91163486,-1.0702384,-1.506091,-0.26455328,1.0739192,-1.8850896,-0.29312024,-2.4321246,-1.9794222,-0.35614,0.9083389,0.01528245,-0.27278513,0.8444206,1.2222149,0.2521602,1.4550735,0.18487011,-0.16586919,-0.41195986,0.569831,-1.346414,-1.2076057,0.04613873,-1.6665471,0.058344185,-0.6922115
6,-2.3729365,0.5535971,1.4253416,0.47018248,-0.89063084,-0.3713904,0.5481441,1.6271344,-0.65925914,-0.6505331,0.22469883,-1.4610904,-0.98558533,0.54264235,2.6138802,-2.04078,-0.041779514,1.0292792,-1.9740479,0.22219974,-3.337194,2.6175115,-1.7797564,0.3582866,0.012192737,-0.14823298,-1.6593547,-1.3199048,-2.2647579,0.6524901,1.4710759,1.1039265,-0.92766905,-0.13722469,-0.5523169,-1.1922088,-0.9399127,0.36061597,-0.9320144,-1.924748,0.7621909,0.5048126,-1.8377545,-1.0934983,-2.5083447,-2.782891,-0.7997528,0.5022956,0.3325724,-1.2748628,1.4595418,1.4705503,-0.24108875,0.5058328,1.4625602,0.2728084,-0.9969291,0.7001092,-2.3693597,-1.0778039,-1.0665865,-2.32755,0.77949244,-2.222538
7,-0.70906067,0.31806844,0.119783945,-0.6622768,0.2458931,0.42603695,0.4117833,-0.86548483,0.4062557,-0.20861176,-0.62271965,0.74792254,0.17490487,0.3648509,-0.84631944,0.7611241,0.39817077,0.49036464,-1.0579404,-0.40082797,0.67880917,-0.6116854,0.45601046,0.13714355,0.3342268,-0.20392221,0.6847123,0.07628876,-0.32594705,0.6261291,0.0013000146,0.07655438,0.3942891,1.2849027,-0.7111697,0.6865425,0.0049565937,0.6902528,0.6896939,0.12487209,0.6799655,0.52079254,-0.20783561,-0.20376982,-0.3649694,1.1956673,-1.123013,-0.41067094,0.34213248,0.61560345,-0.4130296,-0.16745794,0.2600748,0.696532,0.014448814,0.6061166,-0.9820801,-0.13925487,0.0061949566,0.7170985,0.84116817,-0.060325295,-0.3650505,0.57646906
8,1.540399,-1.1042442,-0.56346756,0.11994009,-0.28630754,0.20604362,-0.28825507,0.4105462,-0.52880174,1.4895146,-0.028704923,-0.5582954,-0.23616856,-0.9063957,-0.3791057,-0.3291439,-0.20075308,-1.2497351,1.6537064,0.381611,0.4299531,-0.18410474,0.6866581,-0.0053716674,-0.50891846,0.33965793,0.008506886,0.88438284,1.6986493,-0.3525375,-0.453638,-0.65396804,0.077202745,-0.8866533,1.1590146,-1.2809529,-0.22311643,-0.38405764,0.42526984,0.93673605,-0.25637665,-1.3433362,1.678635,0.39771187,1.8906866,0.4831708,1.235377,-0.08309301,-0.7761864,-0.41152108,-0.7605592,-0.9817965,-0.20597233,-1.3256345,-0.4081431,-1.0343637,1.2445959,-0.6060042,1.0824862,0.09718696,-0.55841494,1.3933702,0.3831576,-0.1543446
9,1.2992665,-0.89821714,-0.67907554,0.01162374,-0.19717383,0.13655643,-0.27504933,0.22910117,-0.22643459,1.1781706,-0.04545605,-0.32737103,-0.036308266,-0.6458014,-0.2893497,0.06485226,-0.33019862,-0.8848038,1.3209453,0.3299528,0.6837527,-0.1593815,0.6506844,-0.034344725,-0.50634694,0.31893218,0.07168734,0.47225368,1.4052379,-0.17785317,-0.2761386,-0.44735956,0.012189808,-0.6899985,0.692435,-1.028641,-0.12544435,-0.47339368,0.3044854,0.87937284,-0.05233951,-1.0955703,1.1901891,0.1780761,1.576455,0.38706973,1.0783936,-0.05158502,-0.63253194,-0.31317896,-0.6296773,-0.7206438,-0.0885448,-0.9561849,-0.20137776,-0.6391971,0.9379736,-0.4196974,0.8255508,0.32857856,-0.41198888,1.2410957,0.49401987,0.077942975
